i               Fib(i)          numCalls
i = 0           1               1
i = 1           1               1
i = 2           2               3
i = 3           3               5
i = 4           5               9
i = 5           8               15
i = 6           13              25
i = 7           21              41
i = 8           34              67
i = 9           55              109
i = 10          89              177
i = 11          144             287
i = 12          233             465
i = 13          377             753
i = 14          610             1219
i = 15          987             1973
i = 16          1597            3193
i = 17          2584            5167
i = 18          4181            8361
i = 19          6765            13529
i = 20          10946           21891
i = 21          17711           35421
i = 22          28657           57313
i = 23          46368           92735
i = 24          75025           150049
i = 25          121393          242785
i = 26          196418          392835
i = 27          317811          635621
i = 28          514229          1028457
i = 29          832040          1664079
i = 30          1346269         2692537
i = 31          2178309         4356617
i = 32          3524578         7049155
i = 33          5702887         11405773
i = 34          9227465         18454929
i = 35          14930352        29860703
i = 36          24157817        48315633
i = 37          39088169        78176337
i = 38          63245986        126491971
i = 39          102334155       204668309
i = 40          165580141       331160281
i = 41          267914296       535828591
i = 42          433494437       866988873
i = 43          701408733       1402817465
i = 44          1134903170      2269806339
i = 45          1836311903      3672623805
i = 46          2971215073      5942430145
i = 47          4807526976      9615053951
i = 48          7778742049      15557484097
i = 49          12586269025     25172538049
i = 50          20365011074     40730022147
